,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Dorian Finney-Smith,2019,0.435,46.0,47.2,0.0,16197.0,0.0
Lonzo Ball,2019,0.521,47.0,51.1,0.0,340017.0,0.0
Josh Hart,2019,0.521,48.0,47.5,0.0,85220.0,0.0
Kyle Kuzma,2019,0.521,46.0,58.4,0.0,304817.0,0.0
JaVale McGee,2019,0.521,41.0,55.5,0.0,176249.0,0.0
Robert Williams,2019,0.617,21.0,42.0,0.0,2560.0,0.0
Brandon Ingram,2019,0.521,37.0,51.8,0.0,200864.0,0.0
Rajon Rondo,2019,0.521,14.0,50.6,4.0,191228.0,0.0
Dennis Smith Jr.,2019,0.435,28.0,48.8,0.0,82473.0,0.0
Jordan McRae,2019,0.435,9.0,32.7,0.0,14161.0,0.0
Tomáš Satoranský,2019,0.435,46.0,48.5,0.0,19644.0,0.0
Jason Smith,2019,0.739,18.0,37.6,0.0,2067.0,0.0
Kelly Oubre Jr.,2019,0.229,46.0,50.9,0.0,128385.0,0.0
J. J. Barea,2019,0.435,38.0,50.3,0.0,105854.0,0.0
Austin Rivers,2019,0.565,43.0,43.5,0.0,157584.0,0.0
Jeff Green,2019,0.435,44.0,51.6,0.0,1507.0,0.0
Ian Mahinmi,2019,0.435,27.0,42.6,0.0,16952.0,0.0
Jalen Brunson,2019,0.435,39.0,43.1,0.0,50425.0,0.0
Markieff Morris,2019,0.435,34.0,48.8,0.0,47278.0,0.0
Kentavious Caldwell-Pope,2019,0.521,48.0,48.2,0.0,87150.0,0.0
Damion Lee,2019,0.702,16.0,39.8,0.0,76393.0,0.0
Devonte' Graham,2019,0.478,26.0,40.7,0.0,23571.0,0.0
Danuel House Jr.,2019,0.565,25.0,49.4,0.0,0.0,0.0
D.J. Wilson,2019,0.739,18.0,46.3,0.0,292.0,0.0
Joakim Noah,2019,0.404,20.0,39.1,2.0,171629.0,0.0
Jaron Blossomgame,2019,0.188,22.0,42.8,0.0,24983.0,0.0
Courtney Lee,2019,0.222,10.0,43.6,0.0,22716.0,0.0
Jalen Jones,2019,0.188,16.0,40.3,0.0,10506.0,0.0
Nenê,2019,0.565,21.0,41.7,0.0,56861.0,0.0
Lauri Markkanen,2019,0.234,24.0,56.4,0.0,91050.0,0.0
Shake Milton,2019,0.646,11.0,39.6,0.0,19403.0,0.0
PJ Dozier,2019,0.617,4.0,37.0,0.0,258.0,0.0
Tyler Davis,2019,0.609,1.0,32.0,0.0,463.0,0.0
Devin Robinson,2019,0.435,4.0,43.5,0.0,8284.0,0.0
Demetrius Jackson,2019,0.646,6.0,42.0,0.0,16630.0,0.0
Okaro White,2019,0.435,3.0,32.3,0.0,12987.0,0.0
D.J. Stephens,2019,0.404,1.0,34.0,0.0,410.0,0.0
Justin Anderson,2019,0.304,24.0,36.9,0.0,562.0,0.0
Davon Reed,2019,0.674,4.0,32.2,0.0,6914.0,0.0
Raul Neto,2019,0.542,19.0,42.3,0.0,6655.0,0.0
James Johnson,2019,0.489,29.0,45.4,0.0,1885.0,0.0
Moritz Wagner,2019,0.521,15.0,36.6,0.0,1207.0,0.0
John Collins,2019,0.304,30.0,65.0,0.0,1851.0,0.0
Jaylen Morris,2019,0.739,4.0,37.2,0.0,9414.0,0.0
Daniel Hamilton,2019,0.304,16.0,38.2,0.0,221.0,0.0
Vince Edwards,2019,0.565,2.0,34.0,0.0,25373.0,0.0
Marcus Derrickson,2019,0.702,6.0,33.7,0.0,16340.0,0.0
Sindarius Thornwell,2019,0.543,30.0,34.2,0.0,13077.0,0.0
DeMarre Carroll,2019,0.521,36.0,48.4,0.0,25180.0,0.0
Isaac Bonga,2019,0.521,7.0,34.9,0.0,44478.0,0.0
Jawun Evans,2019,0.229,4.0,32.8,0.0,10588.0,0.0
Bogdan Bogdanović,2019,0.511,35.0,56.1,0.0,1065.0,0.0
Dion Waiters,2019,0.489,8.0,46.0,0.0,50412.0,0.0
Gary Payton II,2019,0.435,1.0,33.0,0.0,24472.0,0.0
Kalin Lucas,2019,0.435,1.0,39.0,0.0,8498.0,0.0
Deng Adel,2019,0.188,2.0,38.0,0.0,17315.0,0.0
DeMarcus Cousins,2019,0.702,2.0,53.5,4.0,285845.0,0.0
Corey Brewer,2019,0.646,2.0,44.5,0.0,53286.0,0.0
Alan Williams,2019,0.521,1.0,56.0,0.0,1096.0,0.0
Quincy Acy,2019,0.229,7.0,35.6,0.0,22265.0,0.0
Haywood Highsmith,2019,0.646,1.0,40.0,0.0,4529.0,0.0
Tyler Cavanaugh,2019,0.542,4.0,33.0,0.0,7734.0,0.0
Johnathan Motley,2019,0.543,7.0,40.3,0.0,10863.0,0.0
Lonnie Walker IV,2019,0.562,1.0,37.0,0.0,9436.0,0.0
Patrick McCaw,2019,0.729,5.0,30.4,0.0,144644.0,0.0
J.P. Macura,2019,0.478,1.0,31.0,0.0,224.0,0.0
George King,2019,0.229,1.0,34.0,0.0,596.0,0.0
Eric Moreland,2019,0.229,1.0,34.0,0.0,12117.0,0.0
Amile Jefferson,2019,0.426,1.0,36.0,0.0,9841.0,0.0
Troy Caupain,2019,0.426,2.0,43.5,0.0,4853.0,0.0
Tony Bradley,2019,0.542,1.0,28.0,0.0,249.0,0.0
Alex Caruso,2019,0.521,3.0,37.3,0.0,20875.0,0.0
Jerryd Bayless,2019,0.478,9.0,32.9,0.0,39685.0,0.0
Brandon Goodwin,2019,0.689,12.0,35.4,0.0,408.0,0.0
Chasson Randle,2019,0.435,16.0,41.1,0.0,15566.0,0.0
Rawle Alkins,2019,0.234,2.0,40.5,0.0,10687.0,0.0
Jevon Carter,2019,0.404,14.0,36.1,0.0,27372.0,0.0
Nick Young,2019,0.689,4.0,34.0,0.0,5443.0,0.0
Brandon Knight,2019,0.565,12.0,32.6,0.0,1467.0,0.0
