,Year,Win%,Games,Val,PrevAS,WikiViews,AS
Bryn Forbes,2018,0.625,48.0,42.2,0.0,27072.0,0.0
Dāvis Bertāns,2018,0.625,44.0,42.5,0.0,26702.0,0.0
Joffrey Lauvergne,2018,0.625,28.0,39.7,0.0,18312.0,0.0
Manu Ginóbili,2018,0.625,37.0,47.7,0.0,186789.0,0.0
Patty Mills,2018,0.625,48.0,49.0,0.0,46706.0,0.0
Rudy Gay,2018,0.625,34.0,53.4,0.0,68869.0,0.0
Dejounte Murray,2018,0.625,48.0,44.8,0.0,32290.0,0.0
Pau Gasol,2018,0.625,46.0,58.2,6.0,167063.0,0.0
Kyle Anderson,2018,0.625,40.0,55.0,0.0,909.0,0.0
Danny Green,2018,0.625,37.0,48.9,0.0,880.0,0.0
Nemanja Bjelica,2018,0.625,33.0,42.9,0.0,28862.0,0.0
Gorgui Dieng,2018,0.625,45.0,47.2,0.0,21577.0,0.0
Shabazz Muhammad,2018,0.625,27.0,37.2,0.0,31887.0,0.0
Tyus Jones,2018,0.625,48.0,46.1,0.0,58199.0,0.0
Jamal Crawford,2018,0.625,47.0,46.1,0.0,117149.0,0.0
Jeff Teague,2018,0.625,37.0,56.4,1.0,1278.0,0.0
Taj Gibson,2018,0.625,48.0,59.0,0.0,38576.0,0.0
Andrew Wiggins,2018,0.625,48.0,56.2,0.0,150244.0,0.0
Ekpe Udoh,2018,0.413,41.0,45.0,0.0,36230.0,0.0
Alec Burks,2018,0.413,42.0,47.5,0.0,14642.0,0.0
Jusuf Nurkić,2018,0.543,43.0,53.2,0.0,55717.0,0.0
Shabazz Napier,2018,0.543,40.0,53.5,0.0,58526.0,0.0
Joe Johnson,2018,0.413,25.0,42.6,7.0,3037.0,0.0
Caleb Swanigan,2018,0.543,15.0,35.9,0.0,32416.0,0.0
Vince Carter,2018,0.289,27.0,41.4,8.0,387952.0,0.0
Kosta Koufos,2018,0.289,43.0,46.6,0.0,25511.0,0.0
De'Aaron Fox,2018,0.289,38.0,45.1,0.0,87116.0,0.0
Garrett Temple,2018,0.289,43.0,43.8,0.0,12935.0,0.0
Justin Jackson,2018,0.289,31.0,37.5,0.0,888.0,0.0
Willie Cauley-Stein,2018,0.289,42.0,55.8,0.0,49492.0,0.0
George Hill,2018,0.289,37.0,51.8,0.0,1861.0,0.0
Skal Labissière,2018,0.289,39.0,45.0,0.0,25245.0,0.0
Demetrius Jackson,2018,0.727,12.0,32.9,0.0,17167.0,0.0
Nenê,2018,0.727,29.0,46.7,0.0,59726.0,0.0
Derrick Jones Jr.,2018,0.587,13.0,39.9,0.0,39271.0,0.0
Alec Peters,2018,0.37,4.0,37.5,0.0,8767.0,0.0
Mike James,2018,0.37,32.0,48.0,0.0,2431.0,0.0
Marquese Chriss,2018,0.37,42.0,44.0,0.0,22583.0,0.0
Tyler Ulis,2018,0.37,45.0,43.4,0.0,42427.0,0.0
Dragan Bender,2018,0.37,46.0,40.5,0.0,45026.0,0.0
Troy Daniels,2018,0.37,46.0,43.0,0.0,12920.0,0.0
Tyson Chandler,2018,0.37,35.0,51.0,1.0,92640.0,0.0
Devin Booker,2018,0.37,36.0,65.3,0.0,253195.0,0.0
T.J. Warren,2018,0.37,43.0,61.2,0.0,444.0,0.0
Eric Bledsoe,2018,0.511,38.0,60.1,0.0,175893.0,0.0
Josh Jackson,2018,0.37,44.0,41.3,0.0,1955.0,0.0
Meyers Leonard,2018,0.543,15.0,43.4,0.0,28099.0,0.0
Jake Layman,2018,0.543,19.0,34.3,0.0,9897.0,0.0
Ed Davis,2018,0.543,46.0,46.0,0.0,463.0,0.0
Rodney Hood,2018,0.413,36.0,53.5,0.0,26894.0,0.0
Thabo Sefolosha,2018,0.413,38.0,50.6,0.0,33322.0,0.0
Dante Cunningham,2018,0.533,44.0,42.7,0.0,9495.0,0.0
Luke Babbitt,2018,0.289,31.0,43.4,0.0,17831.0,0.0
Mike Muscala,2018,0.289,16.0,44.6,0.0,9596.0,0.0
DeAndre' Bembry,2018,0.289,18.0,35.7,0.0,9394.0,0.0
John Collins,2018,0.289,39.0,56.0,0.0,2199.0,0.0
Marco Belinelli,2018,0.289,44.0,51.6,0.0,29790.0,0.0
Ersan İlyasova,2018,0.289,34.0,53.4,0.0,24749.0,0.0
Dewayne Dedmon,2018,0.289,26.0,53.5,0.0,20792.0,0.0
Taurean Prince,2018,0.289,45.0,49.8,0.0,26392.0,0.0
Kent Bazemore,2018,0.289,45.0,54.3,0.0,26660.0,0.0
Dennis Schröder,2018,0.289,42.0,63.7,0.0,66149.0,0.0
Chandler Parsons,2018,0.356,26.0,48.8,0.0,58071.0,0.0
Jarell Martin,2018,0.356,43.0,42.1,0.0,7372.0,0.0
Tyreke Evans,2018,0.356,44.0,67.0,0.0,90343.0,0.0
Mario Chalmers,2018,0.356,41.0,43.8,0.0,50206.0,0.0
Brandan Wright,2018,0.356,24.0,46.7,0.0,12570.0,0.0
Dillon Brooks,2018,0.356,45.0,44.4,0.0,32771.0,0.0
JaMychal Green,2018,0.356,30.0,50.3,0.0,11018.0,0.0
James Ennis III,2018,0.356,41.0,47.8,0.0,0.0,0.0
Andrew Harrison,2018,0.356,37.0,45.0,0.0,554.0,0.0
Marc Gasol,2018,0.356,44.0,63.3,3.0,104361.0,0.0
Mike Conley,2018,0.356,12.0,58.8,0.0,1165.0,0.0
Cheick Diallo,2018,0.533,22.0,37.2,0.0,20404.0,0.0
Tony Allen,2018,0.533,22.0,37.8,0.0,2486.0,0.0
Jordan Crawford,2018,0.533,2.0,47.0,0.0,22896.0,0.0
Darius Miller,2018,0.533,45.0,45.1,0.0,19480.0,0.0
Ian Clark,2018,0.533,39.0,39.8,0.0,701.0,0.0
Malcolm Delaney,2018,0.289,37.0,42.6,0.0,11001.0,0.0
Josh Magette,2018,0.289,9.0,40.2,0.0,11501.0,0.0
Donovan Mitchell,2018,0.413,44.0,60.4,0.0,89489.0,0.0
Harrison Barnes,2018,0.326,46.0,61.1,0.0,61757.0,0.0
Derrick Favors,2018,0.413,43.0,58.2,0.0,35017.0,0.0
Ricky Rubio,2018,0.413,45.0,50.9,0.0,91945.0,0.0
Joe Ingles,2018,0.413,46.0,53.3,0.0,38127.0,0.0
Rudy Gobert,2018,0.413,20.0,62.1,0.0,50551.0,0.0
Trey Lyles,2018,0.5,41.0,53.0,0.0,51359.0,0.0
Malik Beasley,2018,0.5,41.0,37.4,0.0,14346.0,0.0
Juancho Hernangómez,2018,0.5,18.0,38.7,0.0,397.0,0.0
Kenneth Faried,2018,0.5,30.0,46.0,0.0,39939.0,0.0
Mason Plumlee,2018,0.5,46.0,48.6,0.0,42963.0,0.0
Emmanuel Mudiay,2018,0.5,34.0,44.4,0.0,41549.0,0.0
Will Barton,2018,0.5,45.0,58.3,0.0,22267.0,0.0
Jamal Murray,2018,0.5,45.0,55.4,0.0,63065.0,0.0
Paul Millsap,2018,0.5,16.0,59.5,4.0,48742.0,0.0
Wilson Chandler,2018,0.5,42.0,47.7,0.0,20945.0,0.0
Nikola Jokić,2018,0.5,39.0,67.5,0.0,98280.0,0.0
Gary Harris,2018,0.5,42.0,63.5,0.0,34590.0,0.0
Dorian Finney-Smith,2018,0.326,8.0,36.1,0.0,6385.0,0.0
Dwight Powell,2018,0.326,45.0,49.7,0.0,20592.0,0.0
Devin Harris,2018,0.326,40.0,45.6,1.0,32813.0,0.0
J. J. Barea,2018,0.326,45.0,55.4,0.0,63669.0,0.0
Nerlens Noel,2018,0.326,18.0,42.1,0.0,72375.0,0.0
Dirk Nowitzki,2018,0.326,46.0,56.2,13.0,320225.0,0.0
Dennis Smith Jr.,2018,0.326,38.0,51.1,0.0,138517.0,0.0
Yogi Ferrell,2018,0.326,46.0,50.0,0.0,26202.0,0.0
Wesley Matthews,2018,0.326,46.0,51.8,0.0,23873.0,0.0
Nigel Hayes,2018,0.37,1.0,33.0,0.0,29636.0,0.0
