,Name,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3:00 PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
524,Cassius Winston,WAS,24,7,1,6,5.6,2,0.6,1.6,36.4,0.3,0.9,33.3,0.6,0.6,100,0,0.1,0.1,1,0.4,0,0,1.3,3.2,0,0,-0.9
524,Craig Sword,WAS,28,3,1,2,6.3,2,1,1.3,75,0,0.3,0,0,0,0,0,0,0,0.3,0.3,1.3,0,2.3,6.2,0,0,0.3
524,Damyean Dotson,NYK,28,2,1,1,10.3,2,1,2,50,0,0.5,0,0,0,0,0,1,1,0.5,0,0,0,0,4,0,0,1.5
524,Jemerrio Jones,LAL,27,2,0,2,7.4,2,1,1.5,66.7,0,0,0,0,0,0,1,0.5,1.5,0,0,0.5,0,1,5.3,0,0,-6.5
524,Joe Johnson,BOS,41,1,1,0,2,2,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-5
524,Langston Galloway,MIL,30,7,4,3,15.2,2,0.9,3.7,23.1,0.3,2.3,12.5,0,0,0,0.4,2.1,2.6,1.7,0.9,0.1,0,1,7.2,0,0,-1.7
524,Luke Kornet,BOS,26,15,11,4,6.9,2,0.9,1.8,48.1,0,0.3,0,0.3,0.4,66.7,0.9,1.1,1.9,0.6,0,0.2,0.2,0.6,6.4,0,0,1.5
524,Norvel Pelle,UTA,29,3,0,3,6.3,2,1,1.7,60,0,0,0,0,0,0,1,1,2,0,0.7,0,0.3,0.3,4.7,0,0,-6.3
524,Shaquille Harrison,BKN,28,2,1,1,11.3,2,1,3,33.3,0,1,0,0,0,0,0.5,1.5,2,1.5,1,0.5,0.5,1.5,8.7,0,0,-2
524,Usman Garuba,HOU,20,24,2,22,10,2,0.8,1.8,43.2,0.2,0.8,25,0.2,0.3,71.4,0.9,2.6,3.5,0.7,0.3,0.4,0.5,1.2,9.6,0,0,1.4
535,Chris Chiozza,GSW,26,34,21,13,10.9,2,0.7,2.4,29.6,0.5,1.6,32.1,0.1,0.1,66.7,0.3,0.8,1.1,1.9,0.9,0.4,0,0.9,6.3,0,0,-1.4
536,Marko Simonovic,CHI,22,9,4,5,3.9,1.9,0.4,1.7,26.7,0.1,0.6,20,0.9,1.2,72.7,0.6,0.6,1.1,0,0.2,0.1,0.1,0.7,3.7,0,0,0.3
537,Alize Johnson,NOP,26,23,14,9,7.3,1.8,0.7,1.7,43.6,0,0.2,0,0.3,0.5,58.3,1.2,1.4,2.7,0.4,0.5,0.2,0,0.8,5.7,0,0,-2
538,Brodric Thomas,BOS,25,12,8,4,5,1.8,0.7,1.5,44.4,0.2,0.8,22.2,0.3,0.4,60,0.2,0.7,0.8,0.9,0.5,0.1,0.1,0.6,4.1,0,0,0.3
538,Eugene Omoruyi,DAL,25,4,1,3,4.5,1.8,0.5,1.3,40,0.3,0.5,50,0.5,1,50,0.5,1.3,1.8,0.5,0,0,0,0.5,4.6,0,0,0.8
540,Willie Cauley-Stein,PHI,28,20,12,8,9.1,1.7,0.8,1.8,45.7,0.1,0.1,50,0.1,0.1,50,0.7,1.4,2,0.5,0.4,0.3,0.2,1,5.9,0,0,1.2
541,Isaiah Todd,WAS,20,12,1,11,6.2,1.7,0.6,2.2,26.9,0.3,1.3,25,0.2,0.5,33.3,0.3,0.8,1,0.3,0.3,0.3,0.2,0.3,4.5,0,0,-2
541,Wayne Selden,NYK,27,3,2,1,6.4,1.7,0.3,1.3,25,0.3,0.7,50,0.7,1.3,50,0,0.3,0.3,0.3,0,0,0,0.3,2.6,0,0,-4.3
543,Kevin Pangos,CLE,29,24,16,8,6.9,1.6,0.6,1.9,32.6,0.3,1.1,23.1,0.1,0.2,75,0.1,0.4,0.5,1.3,0.3,0.1,0,0.5,4.1,0,0,-1.5
544,Ryan Arcidiacono,NYK,28,10,8,2,7.6,1.6,0.6,1.2,50,0.4,0.9,44.4,0,0,0,0,0.8,0.8,0.4,0.3,0.1,0,0.5,3.2,0,0,-1.2
545,Emmanuel Mudiay,SAC,26,2,0,2,5.5,1.5,0,1,0,0,0,0,1.5,2,75,0,0,0,2,0.5,0.5,0,0.5,5.5,0,0,-3.5
545,Rob Edwards,OKC,25,2,0,2,5.4,1.5,0.5,2,25,0.5,2,25,0,0,0,0,1.5,1.5,0,0.5,0,0,0,2.8,0,0,-7
547,Leandro Bolmaro,MIN,21,35,19,16,6.9,1.4,0.5,1.5,31.5,0.1,0.5,27.8,0.3,0.4,84.6,0.5,0.8,1.2,0.6,0.4,0.2,0,0.7,3.9,0,0,0.1
548,Malik Fitts,BOS,24,15,13,2,4.2,1.4,0.5,1.3,42.1,0.3,0.7,50,0,0,0,0.1,1,1.1,0.3,0.1,0,0,0.3,3.1,0,0,-1.3
549,Charlie Brown Jr.,PHI,25,22,16,6,8.1,1.4,0.5,1.8,25.6,0,0.5,8.3,0.4,0.5,90,0.6,0.8,1.5,0.3,0.2,0.5,0.2,0.8,5.2,0,0,-1
550,Darren Collison,LAL,34,3,1,2,12.4,1.3,0.7,2.3,28.6,0,1,0,0,0,0,0,1.3,1.3,0.7,0.3,0.3,0,1.7,4.6,0,0,-4.7
551,Jordan Schakel,WAS,24,4,1,3,7.6,1.3,0.3,2.8,9.1,0.3,1.5,16.7,0.5,0.5,100,0.5,1.5,2,0,0.3,0.3,0,0,4.2,0,0,0.5
551,Moses Wright,DAL,23,4,4,0,3.7,1.3,0.3,1,25,0,0.3,0,0.8,0.8,100,0.3,0.5,0.8,0.5,0,0,0.3,0,3.7,0,0,-1.8
553,Myles Powell,PHI,24,11,8,3,4.7,1.2,0.5,1.5,29.4,0.1,0.5,16.7,0.2,0.2,100,0.1,0.5,0.5,0.3,0.3,0.1,0,0.7,2.2,0,0,-1.6
554,Tacko Fall,CLE,26,11,4,7,5.3,1.1,0.5,1.1,41.7,0,0,0,0.2,0.6,28.6,0.6,1.5,2.1,0.2,0.3,0,0.5,0.3,5.2,0,0,0.5
555,Marcus Garrett,MIA,23,12,11,1,10.7,1.1,0.4,1.8,23.8,0.1,0.3,25,0.2,0.4,40,0.8,1.2,1.9,0.6,0.2,0.4,0.3,1.3,6.1,0,0,1.4
555,Yves Pons,MEM,23,12,9,3,5.9,1.1,0.4,1.3,31.3,0.3,0.8,33.3,0,0.2,0,0.4,0.6,1,0.1,0.1,0.1,0.3,0.5,3.6,0,0,-2.5
557,Petr Cornelie,DEN,26,13,3,10,2.9,1.1,0.4,1.2,33.3,0.1,0.6,12.5,0.2,0.3,75,0.5,0.5,1.1,0.2,0.3,0.1,0.1,0.5,2.9,0,0,0.6
558,RJ Nembhard Jr.,CLE,23,14,6,8,4.5,1.1,0.4,1.3,33.3,0,0.1,0,0.2,0.3,75,0.2,0.3,0.5,0.9,0.2,0.1,0,0.1,3,0,0,-0.5
559,Kai Jones,CHA,21,21,14,7,3,1,0.4,0.7,64.3,0,0.1,50,0.1,0.4,37.5,0.1,0.4,0.5,0.2,0.3,0,0.1,0.4,2.1,0,0,-0.7
560,Dakota Mathias,MEM,26,6,5,1,2.7,1,0.3,1,33.3,0.3,1,33.3,0,0,0,0,0.3,0.3,0.2,0,0.2,0,0.2,2.2,0,0,-1.8
560,Deividas Sirvydis,DET,22,3,1,2,8.9,1,0.3,3.3,10,0.3,2.3,14.3,0,0,0,0,2,2,0.3,0,1,0.3,1.3,7.9,0,0,-9.3
560,Jaden Springer,PHI,19,2,2,0,2.8,1,0.5,0.5,100,0,0,0,0,0,0,0.5,0.5,1,0,0.5,0,1,0,4.7,0,0,-4
560,McKinley Wright IV,MIN,23,5,3,2,3.8,1,0.4,0.6,66.7,0.2,0.4,50,0,0,0,0,0,0,0.6,0.2,0,0,0.2,1.7,0,0,-1.4
560,Shaq Buchanan,MEM,25,2,2,0,4.9,1,0.5,2,25,0,1,0,0,0,0,0.5,0.5,1,1,1,0.5,0,0.5,4.2,0,0,-1
