,W,L,%,P_W,P_L,P_%
1109,76.0,87.0,0.466,2.0,3.0,0.4
1110,21.0,27.0,0.438,0.0,0.0,0.0
1111,31.0,49.0,0.388,0.0,0.0,0.0
1112,89.0,102.0,0.466,1.0,4.0,0.2
1113,119.0,153.0,0.438,4.0,5.0,0.444
1114,54.0,25.0,0.681,3.0,4.0,0.429
1115,108.0,103.0,0.512,6.0,5.0,0.545
1116,151.0,214.0,0.414,7.0,1.0,0.875
1117,,,,,,
1118,23.0,11.0,0.677,1.0,2.0,0.333
1119,120.0,140.0,0.461,3.0,5.0,0.375
1120,9.0,8.0,0.529,0.0,1.0,0.0
1121,,,,,,
1122,8.0,9.0,0.471,0.0,0.0,0.0
1123,11.0,37.0,0.229,0.0,0.0,0.0
1124,113.0,162.0,0.411,1.0,4.0,0.2
1125,183.0,185.0,0.497,11.0,9.0,0.55
1126,183.0,264.0,0.409,1.0,4.0,0.2
1127,29.0,19.0,0.604,2.0,3.0,0.4
1128,216.0,202.0,0.517,11.0,9.0,0.55
1129,28.0,21.0,0.571,4.0,1.0,0.8
1130,126.0,99.0,0.56,3.0,10.0,0.231
1131,77.0,117.0,0.397,2.0,2.0,0.5
1132,9.0,23.0,0.281,0.0,0.0,0.0
1133,20.0,12.0,0.625,3.0,0.0,1.0
1134,34.0,30.0,0.531,1.0,1.0,0.5
1135,104.0,88.0,0.542,4.0,7.0,0.364
1136,3.0,13.0,0.206,0.0,0.0,0.0
1137,30.0,37.0,0.448,0.0,1.0,0.0
1138,102.0,122.0,0.455,4.0,5.0,0.444
1139,56.0,43.0,0.566,2.0,4.0,0.333
1140,9.0,23.0,0.281,0.0,0.0,0.0
1141,95.0,97.0,0.495,1.0,4.0,0.2
1142,,,,,,
1143,3.0,13.0,0.188,0.0,0.0,0.0
1144,21.0,12.0,0.636,2.0,1.0,0.667
1145,17.0,15.0,0.531,1.0,1.0,0.5
1146,,,,,,
1147,,,,,,
1148,4.0,13.0,0.235,0.0,0.0,0.0
1149,181.0,250.0,0.42,6.0,5.0,0.545
1150,86.0,74.0,0.537,3.0,5.0,0.375
1151,,,,,,
1152,69.0,75.0,0.479,3.0,3.0,0.5
1153,169.0,153.0,0.525,10.0,9.0,0.526
1154,29.0,18.0,0.615,2.0,2.0,0.5
1155,76.0,68.0,0.528,4.0,5.0,0.444
1156,,,,,,
1157,,,,,,
1158,118.0,122.0,0.492,4.0,6.0,0.4
1159,84.0,30.0,0.737,15.0,4.0,0.789
1160,122.0,158.0,0.436,6.0,2.0,0.75
1161,,,,,,
1162,45.0,67.0,0.402,2.0,2.0,0.5
1163,101.0,75.0,0.574,6.0,4.0,0.6
1164,49.0,34.0,0.59,1.0,4.0,0.2
1165,,,,,,
1166,7.0,8.0,0.469,0.0,0.0,0.0
1167,4.0,12.0,0.25,0.0,0.0,0.0
1168,186.0,236.0,0.441,1.0,8.0,0.111
1169,91.0,37.0,0.711,7.0,6.0,0.538
1170,40.0,24.0,0.625,5.0,2.0,0.714
1171,156.0,182.0,0.462,1.0,5.0,0.167
1172,180.0,132.0,0.576,15.0,8.0,0.652
1173,211.0,159.0,0.57,24.0,8.0,0.75
1174,108.0,71.0,0.603,9.0,6.0,0.6
1175,10.0,23.0,0.303,0.0,0.0,0.0
1176,,,,,,
1177,,,,,,
1178,,,,,,
1179,58.0,41.0,0.586,3.0,4.0,0.429
1180,12.0,30.0,0.286,0.0,0.0,0.0
1181,30.0,18.0,0.625,3.0,3.0,0.5
1182,,,,,,
1183,130.0,128.0,0.504,8.0,5.0,0.615
1184,154.0,87.0,0.638,10.0,11.0,0.476
1185,219.0,131.0,0.625,20.0,11.0,0.645
1186,152.0,167.0,0.476,9.0,7.0,0.562
1187,10.0,7.0,0.588,1.0,1.0,0.5
1188,3.0,14.0,0.176,0.0,0.0,0.0
1189,,,,,,
1190,14.0,34.0,0.292,0.0,0.0,0.0
1191,74.0,104.0,0.416,0.0,2.0,0.0
1192,51.0,78.0,0.397,0.0,1.0,0.0
1193,11.0,53.0,0.172,0.0,0.0,0.0
1194,9.0,8.0,0.529,0.0,0.0,0.0
1195,13.0,3.0,0.812,1.0,1.0,0.5
1196,35.0,45.0,0.438,0.0,1.0,0.0
1197,24.0,56.0,0.3,1.0,1.0,0.5
1198,140.0,165.0,0.459,2.0,6.0,0.25
1199,26.0,76.0,0.255,0.0,0.0,0.0
1200,20.0,12.0,0.625,4.0,2.0,0.667
1201,61.0,53.0,0.535,2.0,4.0,0.333
1202,90.0,85.0,0.514,3.0,3.0,0.5
1203,15.0,49.0,0.234,0.0,0.0,0.0
1204,,,,,,
1205,83.0,158.0,0.345,0.0,1.0,0.0
1206,83.0,96.0,0.464,7.0,3.0,0.7
1207,215.0,185.0,0.537,11.0,11.0,0.5
1208,14.0,34.0,0.292,0.0,0.0,0.0
1209,43.0,55.0,0.439,1.0,2.0,0.333
1210,43.0,55.0,0.439,1.0,2.0,0.333
1211,131.0,125.0,0.512,2.0,7.0,0.222
1212,13.0,21.0,0.382,0.0,0.0,0.0
1213,27.0,36.0,0.43,0.0,0.0,0.0
1214,86.0,104.0,0.453,0.0,5.0,0.0
1215,49.0,77.0,0.391,2.0,1.0,0.667
1216,,,,,,
1217,12.0,5.0,0.706,2.0,1.0,0.667
1218,21.0,30.0,0.412,0.0,0.0,0.0
1219,61.0,51.0,0.545,1.0,3.0,0.25
1220,,,,,,
1221,8.0,8.0,0.5,0.0,0.0,0.0
1222,31.0,33.0,0.484,1.0,2.0,0.333
1223,12.0,5.0,0.706,2.0,1.0,0.667
1224,283.0,241.0,0.539,9.0,16.0,0.36
1225,160.0,190.0,0.457,3.0,7.0,0.3
1226,251.0,248.0,0.503,13.0,11.0,0.542
1227,59.0,56.0,0.513,0.0,2.0,0.0
1228,,,,,,
1229,18.0,46.0,0.281,0.0,0.0,0.0
1230,151.0,153.0,0.497,10.0,5.0,0.667
1231,128.0,130.0,0.496,8.0,5.0,0.615
1232,132.0,94.0,0.584,9.0,7.0,0.562
1233,146.0,110.0,0.57,5.0,9.0,0.357
1234,9.0,7.0,0.562,0.0,0.0,0.0
1235,88.0,59.0,0.599,3.0,4.0,0.429
1236,30.0,35.0,0.461,2.0,1.0,0.667
1237,186.0,156.0,0.544,10.0,9.0,0.526
1238,,,,,,
1239,45.0,38.0,0.542,2.0,3.0,0.4
1240,21.0,26.0,0.447,0.0,1.0,0.0
1241,118.0,154.0,0.434,3.0,5.0,0.375
1242,18.0,16.0,0.529,0.0,1.0,0.0
1243,67.0,48.0,0.583,6.0,3.0,0.667
1244,42.0,23.0,0.646,8.0,1.0,0.889
1245,,,,,,
1246,75.0,104.0,0.419,0.0,2.0,0.0
1247,,,,,,
1248,,,,,,
1249,6.0,10.0,0.375,0.0,0.0,0.0
1250,42.0,38.0,0.525,3.0,2.0,0.6
1251,62.0,66.0,0.484,1.0,2.0,0.333
1252,51.0,62.0,0.452,0.0,2.0,0.0
1253,113.0,145.0,0.438,7.0,5.0,0.583
1254,50.0,63.0,0.443,1.0,2.0,0.333
1255,63.0,50.0,0.557,2.0,3.0,0.4
1256,29.0,19.0,0.604,3.0,1.0,0.75
1257,46.0,34.0,0.575,1.0,2.0,0.333
1258,103.0,106.0,0.493,3.0,5.0,0.375
1259,151.0,125.0,0.547,11.0,7.0,0.611
1260,156.0,211.0,0.425,1.0,4.0,0.2
1261,93.0,86.0,0.52,8.0,5.0,0.615
1262,121.0,104.0,0.538,11.0,7.0,0.611
1263,5.0,12.0,0.294,0.0,0.0,0.0
1264,176.0,210.0,0.456,3.0,7.0,0.3
1265,56.0,73.0,0.434,0.0,2.0,0.0
1266,43.0,21.0,0.672,7.0,1.0,0.875
1267,6.0,11.0,0.353,0.0,0.0,0.0
1268,234.0,260.0,0.474,4.0,9.0,0.308
1269,100.0,59.0,0.628,5.0,8.0,0.385
1270,45.0,38.0,0.542,2.0,3.0,0.4
1271,,,,,,
1272,69.0,93.0,0.426,3.0,2.0,0.6
1273,211.0,189.0,0.527,11.0,10.0,0.524
1274,,,,,,
1275,9.0,23.0,0.281,0.0,0.0,0.0
1276,132.0,140.0,0.485,4.0,4.0,0.5
1277,131.0,122.0,0.518,0.0,7.0,0.0
1278,315.0,282.0,0.527,16.0,16.0,0.5
1279,161.0,143.0,0.53,15.0,8.0,0.652
1280,210.0,126.0,0.624,8.0,16.0,0.333
1281,74.0,54.0,0.578,1.0,3.0,0.25
1282,,,,,,
1283,151.0,106.0,0.587,9.0,9.0,0.5
1284,202.0,238.0,0.459,8.0,7.0,0.533
1285,12.0,20.0,0.375,0.0,0.0,0.0
1286,1.0,15.0,0.062,0.0,0.0,0.0
1287,109.0,163.0,0.401,5.0,4.0,0.556
1288,25.0,23.0,0.521,0.0,1.0,0.0
1289,50.0,47.0,0.515,1.0,2.0,0.333
1290,,,,,,
1291,4.0,13.0,0.235,0.0,0.0,0.0
1292,6.0,10.0,0.375,0.0,0.0,0.0
1293,28.0,39.0,0.418,0.0,1.0,0.0
1294,57.0,41.0,0.582,3.0,3.0,0.5
1295,7.0,9.0,0.438,0.0,0.0,0.0
1296,19.0,13.0,0.594,0.0,2.0,0.0
1297,134.0,138.0,0.493,6.0,5.0,0.545
1298,93.0,83.0,0.528,3.0,4.0,0.429
1299,175.0,177.0,0.497,5.0,6.0,0.455
1300,98.0,209.0,0.319,0.0,3.0,0.0
1301,23.0,8.0,0.734,4.0,2.0,0.667
1302,96.0,54.0,0.638,9.0,6.0,0.6
1303,115.0,63.0,0.645,12.0,8.0,0.6
1304,58.0,54.0,0.518,3.0,3.0,0.5
1305,,,,,,
1306,25.0,9.0,0.735,7.0,0.0,1.0
1307,93.0,118.0,0.441,1.0,2.0,0.333
1308,27.0,21.0,0.562,1.0,1.0,0.5
1309,28.0,35.0,0.445,2.0,2.0,0.5
1310,165.0,138.0,0.544,10.0,7.0,0.588
1311,67.0,61.0,0.523,3.0,4.0,0.429
1312,14.0,20.0,0.412,0.0,0.0,0.0
1313,54.0,42.0,0.562,5.0,2.0,0.714
1314,9.0,8.0,0.529,0.0,0.0,0.0
1315,,,,,,
1316,11.0,5.0,0.688,0.0,1.0,0.0
1317,276.0,239.0,0.536,15.0,9.0,0.625
1318,64.0,67.0,0.488,3.0,3.0,0.5
1319,201.0,166.0,0.548,10.0,8.0,0.556
1320,55.0,41.0,0.573,3.0,3.0,0.5
1321,23.0,28.0,0.451,0.0,1.0,0.0
1322,34.0,17.0,0.667,2.0,3.0,0.4
1323,151.0,298.0,0.337,1.0,2.0,0.333
1324,13.0,36.0,0.265,0.0,0.0,0.0
1325,,,,,,
1326,,,,,,
1327,187.0,102.0,0.647,19.0,11.0,0.633
1328,165.0,126.0,0.567,8.0,10.0,0.444
1329,19.0,32.0,0.372,0.0,0.0,0.0
1330,71.0,41.0,0.634,6.0,4.0,0.6
1331,,,,,,
1332,,,,,,
1333,208.0,195.0,0.516,9.0,10.0,0.474
1334,47.0,33.0,0.585,0.0,2.0,0.0
1335,57.0,57.0,0.5,5.0,1.0,0.833
1336,14.0,20.0,0.412,0.0,0.0,0.0
1337,112.0,112.0,0.5,1.0,6.0,0.143
1338,41.0,25.0,0.621,1.0,2.0,0.333
1339,95.0,65.0,0.594,5.0,4.0,0.556
1340,13.0,4.0,0.765,1.0,1.0,0.5
1341,48.0,35.0,0.578,2.0,4.0,0.333
1342,67.0,64.0,0.511,3.0,4.0,0.429
1343,5.0,10.0,0.344,0.0,0.0,0.0
1344,123.0,120.0,0.506,4.0,6.0,0.4
1345,85.0,109.0,0.439,0.0,2.0,0.0
1346,36.0,29.0,0.554,0.0,1.0,0.0
1347,199.0,185.0,0.518,10.0,11.0,0.476
1348,218.0,204.0,0.517,18.0,8.0,0.692
1349,92.0,117.0,0.441,1.0,4.0,0.2
1350,103.0,76.0,0.575,13.0,3.0,0.812
1351,56.0,56.0,0.5,2.0,4.0,0.333
1352,25.0,26.0,0.49,0.0,1.0,0.0
1353,24.0,40.0,0.375,0.0,0.0,0.0
1354,,,,,,
1355,60.0,69.0,0.465,2.0,4.0,0.333
1356,43.0,69.0,0.384,3.0,3.0,0.5
1357,,,,,,
1358,14.0,3.0,0.823,2.0,1.0,0.667
1359,112.0,160.0,0.412,3.0,2.0,0.6
1360,44.0,20.0,0.688,1.0,3.0,0.25
1361,42.0,73.0,0.365,0.0,0.0,0.0
1362,53.0,43.0,0.552,3.0,3.0,0.5
1363,,,,,,
1364,,,,,,
1365,33.0,15.0,0.688,1.0,2.0,0.333
1366,,,,,,
1367,104.0,115.0,0.475,4.0,4.0,0.5
1368,,,,,,
1369,298.0,182.0,0.621,28.0,11.0,0.718
1370,149.0,182.0,0.45,3.0,7.0,0.3
1371,121.0,98.0,0.552,3.0,7.0,0.3
1372,30.0,51.0,0.37,0.0,1.0,0.0
1373,57.0,74.0,0.435,0.0,1.0,0.0
1374,29.0,35.0,0.453,0.0,0.0,0.0
1375,,,,,,
1376,260.0,291.0,0.472,2.0,10.0,0.167
1377,232.0,118.0,0.662,20.0,13.0,0.606
1378,48.0,113.0,0.298,3.0,2.0,0.6
1379,30.0,20.0,0.6,1.0,2.0,0.333
1380,59.0,23.0,0.72,11.0,2.0,0.846
1381,75.0,152.0,0.33,2.0,2.0,0.5
1382,,,,,,
1383,86.0,71.0,0.548,5.0,7.0,0.417
1384,21.0,30.0,0.412,1.0,1.0,0.5
1385,19.0,14.0,0.576,0.0,0.0,0.0
1386,,,,,,
1387,85.0,93.0,0.478,2.0,4.0,0.333
1388,221.0,177.0,0.555,15.0,12.0,0.556
1389,24.0,27.0,0.471,0.0,1.0,0.0
1390,67.0,45.0,0.598,0.0,4.0,0.0
1391,99.0,112.0,0.469,1.0,4.0,0.2
1392,39.0,42.0,0.481,4.0,2.0,0.667
1393,93.0,147.0,0.388,1.0,2.0,0.333
1394,180.0,156.0,0.536,10.0,8.0,0.556
1395,215.0,152.0,0.585,13.0,11.0,0.542
1396,9.0,7.0,0.562,0.0,1.0,0.0
1397,178.0,190.0,0.484,9.0,6.0,0.6
1398,45.0,51.0,0.469,4.0,2.0,0.667
1399,,,,,,
1400,19.0,76.0,0.203,0.0,0.0,0.0
1401,226.0,159.0,0.587,11.0,12.0,0.478
1402,8.0,8.0,0.5,0.0,0.0,0.0
1403,10.0,24.0,0.294,0.0,0.0,0.0
1404,,,,,,
1405,71.0,60.0,0.542,1.0,3.0,0.25
1406,145.0,110.0,0.568,14.0,8.0,0.636
1407,42.0,22.0,0.656,1.0,3.0,0.25
1408,66.0,81.0,0.449,3.0,1.0,0.75
1409,10.0,7.0,0.588,1.0,1.0,0.5
1410,272.0,241.0,0.53,15.0,11.0,0.577
1411,321.0,270.0,0.543,12.0,16.0,0.429
1412,130.0,126.0,0.508,5.0,7.0,0.417
1413,,,,,,
1414,56.0,73.0,0.435,2.0,2.0,0.5
1415,57.0,55.0,0.509,3.0,4.0,0.429
1416,84.0,108.0,0.438,1.0,2.0,0.333
1417,,,,,,
1418,,,,,,
1419,,,,,,
1420,145.0,127.0,0.533,4.0,6.0,0.4
1421,171.0,174.0,0.496,4.0,10.0,0.286
1422,228.0,247.0,0.48,9.0,10.0,0.474
1423,80.0,64.0,0.556,9.0,4.0,0.692
1424,2.0,14.0,0.125,0.0,0.0,0.0
1425,32.0,16.0,0.667,1.0,2.0,0.333
1426,29.0,20.0,0.592,4.0,2.0,0.667
1427,42.0,40.0,0.512,6.0,1.0,0.857
1428,,,,,,
1429,29.0,35.0,0.453,0.0,0.0,0.0
1430,91.0,70.0,0.565,6.0,4.0,0.6
1431,59.0,69.0,0.461,0.0,2.0,0.0
1432,82.0,93.0,0.469,2.0,2.0,0.5
1433,34.0,68.0,0.336,0.0,0.0,0.0
1434,112.0,95.0,0.541,4.0,4.0,0.5
1435,154.0,199.0,0.436,2.0,5.0,0.286
1436,58.0,70.0,0.453,1.0,2.0,0.333
1437,4.0,12.0,0.25,0.0,0.0,0.0
1438,230.0,171.0,0.573,11.0,11.0,0.5
1439,66.0,47.0,0.583,4.0,5.0,0.444
1440,162.0,96.0,0.628,13.0,9.0,0.591
1441,257.0,210.0,0.55,18.0,11.0,0.621
1442,107.0,143.0,0.428,2.0,3.0,0.4
1443,23.0,57.0,0.287,0.0,0.0,0.0
1444,244.0,254.0,0.49,16.0,8.0,0.667
1445,175.0,180.0,0.493,3.0,4.0,0.429
1446,235.0,228.0,0.508,9.0,13.0,0.409
1447,62.0,35.0,0.639,4.0,5.0,0.444
1448,208.0,191.0,0.521,3.0,10.0,0.231
1449,24.0,26.0,0.48,1.0,1.0,0.5
1450,218.0,266.0,0.45,12.0,6.0,0.667
1451,165.0,185.0,0.471,6.0,8.0,0.429
1452,187.0,180.0,0.51,11.0,7.0,0.611
1453,32.0,48.0,0.4,0.0,1.0,0.0
1454,241.0,213.0,0.531,15.0,15.0,0.5
1455,36.0,11.0,0.76,6.0,2.0,0.75
1456,123.0,134.0,0.479,6.0,7.0,0.461
1457,4.0,13.0,0.235,0.0,0.0,0.0
1458,31.0,35.0,0.47,0.0,0.0,0.0
1459,55.0,41.0,0.573,2.0,3.0,0.4
1460,158.0,114.0,0.581,9.0,6.0,0.6
1461,,,,,,
1462,37.0,44.0,0.457,5.0,2.0,0.714
1463,178.0,158.0,0.53,12.0,7.0,0.632
1464,12.0,20.0,0.375,0.0,0.0,0.0
1465,72.0,58.0,0.553,2.0,4.0,0.333
1466,,,,,,
1467,78.0,53.0,0.595,5.0,5.0,0.5
1468,24.0,9.0,0.727,2.0,2.0,0.5
1469,,,,,,
1470,14.0,20.0,0.412,0.0,0.0,0.0
1471,65.0,110.0,0.372,0.0,2.0,0.0
1472,64.0,115.0,0.357,0.0,2.0,0.0
1473,19.0,13.0,0.594,2.0,1.0,0.667
1474,,,,,,
1475,,,,,,
1476,67.0,77.0,0.465,2.0,2.0,0.5
1477,37.0,44.0,0.457,5.0,2.0,0.714
1478,,,,,,
1479,,,,,,
1480,234.0,286.0,0.45,7.0,8.0,0.467
1481,32.0,35.0,0.478,0.0,1.0,0.0
1482,147.0,156.0,0.485,10.0,7.0,0.588
1483,50.0,33.0,0.602,1.0,2.0,0.333
1484,158.0,180.0,0.468,7.0,9.0,0.438
1485,107.0,117.0,0.478,2.0,3.0,0.4
1486,32.0,34.0,0.485,0.0,0.0,0.0
1487,77.0,68.0,0.531,4.0,5.0,0.444
1488,47.0,52.0,0.475,1.0,2.0,0.333
1489,,,,,,
1490,22.0,26.0,0.458,0.0,1.0,0.0
1491,11.0,6.0,0.647,0.0,1.0,0.0
1492,4.0,12.0,0.25,0.0,0.0,0.0
1493,25.0,26.0,0.49,0.0,1.0,0.0
1494,172.0,177.0,0.493,13.0,7.0,0.65
1495,171.0,186.0,0.479,8.0,6.0,0.571
1496,164.0,267.0,0.38,1.0,6.0,0.143
1497,46.0,21.0,0.687,7.0,4.0,0.636
1498,35.0,16.0,0.686,6.0,3.0,0.667
1499,71.0,105.0,0.403,4.0,2.0,0.667
1500,12.0,5.0,0.706,2.0,1.0,0.667
1501,6.0,10.0,0.375,0.0,0.0,0.0
1502,19.0,28.0,0.406,0.0,0.0,0.0
1503,32.0,64.0,0.333,0.0,0.0,0.0
1504,42.0,54.0,0.438,5.0,2.0,0.714
1505,94.0,99.0,0.487,1.0,3.0,0.25
1506,175.0,240.0,0.422,6.0,9.0,0.4
1507,,,,,,
1508,86.0,45.0,0.657,3.0,5.0,0.375
1509,27.0,21.0,0.562,0.0,1.0,0.0
1510,105.0,106.0,0.498,4.0,5.0,0.444
1511,456.0,317.0,0.589,22.0,28.0,0.44
1512,21.0,27.0,0.438,3.0,0.0,1.0
1513,94.0,84.0,0.528,9.0,4.0,0.692
1514,123.0,119.0,0.508,5.0,6.0,0.455
1515,10.0,22.0,0.312,0.0,0.0,0.0
1516,40.0,42.0,0.488,2.0,2.0,0.5
1517,47.0,33.0,0.588,0.0,2.0,0.0
1518,58.0,54.0,0.518,1.0,3.0,0.25
1519,35.0,46.0,0.432,1.0,1.0,0.5
1520,13.0,20.0,0.397,0.0,0.0,0.0
1521,173.0,145.0,0.544,5.0,11.0,0.312
1522,155.0,196.0,0.442,3.0,4.0,0.429
1523,7.0,24.0,0.234,0.0,0.0,0.0
1524,7.0,10.0,0.412,0.0,0.0,0.0
1525,25.0,23.0,0.521,0.0,1.0,0.0
1526,4.0,12.0,0.25,0.0,0.0,0.0
1527,88.0,107.0,0.451,0.0,3.0,0.0
1528,80.0,131.0,0.379,0.0,0.0,0.0
1529,,,,,,
1530,119.0,102.0,0.538,5.0,6.0,0.455
1531,43.0,56.0,0.434,0.0,1.0,0.0
1532,167.0,171.0,0.494,4.0,7.0,0.364
1533,6.0,10.0,0.375,0.0,0.0,0.0
1534,38.0,58.0,0.396,0.0,2.0,0.0
1535,34.0,46.0,0.425,3.0,1.0,0.75
1536,26.0,40.0,0.395,0.0,1.0,0.0
1537,4.0,12.0,0.25,0.0,0.0,0.0
1538,161.0,111.0,0.592,12.0,11.0,0.522
1539,31.0,33.0,0.484,0.0,1.0,0.0
1540,79.0,51.0,0.608,5.0,6.0,0.455
1541,196.0,155.0,0.558,14.0,10.0,0.583
1542,168.0,200.0,0.457,4.0,8.0,0.333
1543,139.0,164.0,0.459,0.0,3.0,0.0
1544,296.0,245.0,0.547,22.0,13.0,0.629
1545,97.0,125.0,0.437,0.0,3.0,0.0
1546,69.0,30.0,0.697,10.0,5.0,0.667
1547,12.0,20.0,0.375,0.0,0.0,0.0
1548,10.0,22.0,0.312,0.0,0.0,0.0
1549,30.0,34.0,0.469,0.0,1.0,0.0
1550,14.0,34.0,0.292,0.0,0.0,0.0
1551,88.0,57.0,0.606,6.0,4.0,0.6
1552,184.0,182.0,0.503,5.0,8.0,0.385
1553,148.0,219.0,0.404,3.0,5.0,0.375
1554,45.0,37.0,0.549,2.0,1.0,0.667
1555,86.0,93.0,0.48,7.0,5.0,0.583
1556,1.0,10.0,0.091,0.0,0.0,0.0
1557,145.0,78.0,0.65,8.0,8.0,0.5
1558,18.0,14.0,0.562,1.0,1.0,0.5
1559,140.0,86.0,0.619,9.0,9.0,0.5
1560,52.0,43.0,0.547,7.0,2.0,0.778
1561,202.0,181.0,0.527,9.0,9.0,0.5
1562,55.0,41.0,0.573,5.0,1.0,0.833
1563,25.0,42.0,0.373,0.0,0.0,0.0
1564,,,,,,
1565,182.0,265.0,0.407,6.0,5.0,0.545
1566,126.0,129.0,0.494,5.0,5.0,0.5
1567,135.0,180.0,0.429,4.0,5.0,0.444
1568,6.0,10.0,0.375,0.0,0.0,0.0
1569,88.0,59.0,0.599,6.0,6.0,0.5
1570,260.0,235.0,0.525,14.0,12.0,0.538
1571,116.0,79.0,0.595,7.0,6.0,0.538
1572,79.0,67.0,0.541,7.0,4.0,0.636
1573,29.0,18.0,0.615,1.0,1.0,0.5
1574,102.0,186.0,0.354,0.0,4.0,0.0
1575,9.0,8.0,0.529,0.0,0.0,0.0
1576,258.0,190.0,0.576,14.0,17.0,0.452
1577,85.0,106.0,0.445,4.0,1.0,0.8
1578,89.0,54.0,0.621,9.0,6.0,0.6
1579,1.0,15.0,0.062,0.0,0.0,0.0
1580,36.0,45.0,0.444,0.0,1.0,0.0
1581,110.0,96.0,0.534,7.0,5.0,0.583
1582,237.0,208.0,0.532,17.0,9.0,0.654
1583,6.0,10.0,0.375,0.0,0.0,0.0
1584,77.0,99.0,0.438,2.0,3.0,0.4
1585,21.0,13.0,0.618,2.0,1.0,0.667
1586,8.0,9.0,0.471,0.0,0.0,0.0
1587,25.0,23.0,0.521,1.0,2.0,0.333
1588,73.0,101.0,0.42,0.0,2.0,0.0
1589,145.0,94.0,0.606,11.0,9.0,0.55
1590,,,,,,
1591,24.0,9.0,0.727,2.0,2.0,0.5
1592,2.0,14.0,0.125,0.0,0.0,0.0
1593,149.0,90.0,0.623,12.0,9.0,0.571
1594,13.0,19.0,0.406,0.0,0.0,0.0
1595,,,,,,
1596,39.0,56.0,0.411,1.0,1.0,0.5
1597,3.0,13.0,0.206,0.0,0.0,0.0
1598,12.0,20.0,0.375,0.0,0.0,0.0
1599,273.0,229.0,0.544,12.0,13.0,0.48
1600,35.0,16.0,0.686,6.0,3.0,0.667
1601,5.0,12.0,0.294,0.0,0.0,0.0
1602,58.0,70.0,0.453,1.0,2.0,0.333
1603,154.0,102.0,0.602,15.0,7.0,0.682
1604,117.0,91.0,0.562,7.0,4.0,0.636
1605,51.0,63.0,0.448,0.0,2.0,0.0
1606,58.0,53.0,0.522,2.0,3.0,0.4
1607,56.0,40.0,0.583,1.0,3.0,0.25
1608,13.0,19.0,0.406,0.0,0.0,0.0
1609,154.0,104.0,0.597,10.0,9.0,0.526
1610,69.0,43.0,0.616,1.0,4.0,0.2
1611,11.0,6.0,0.647,4.0,0.0,1.0
1612,12.0,20.0,0.375,0.0,0.0,0.0
1613,72.0,56.0,0.562,9.0,4.0,0.692
1614,60.0,39.0,0.606,2.0,3.0,0.4
1615,80.0,88.0,0.476,0.0,4.0,0.0
1616,54.0,58.0,0.482,2.0,2.0,0.5
1617,3.0,12.0,0.219,0.0,0.0,0.0
1618,17.0,15.0,0.531,1.0,1.0,0.5
1619,228.0,201.0,0.531,9.0,11.0,0.45
1620,42.0,38.0,0.525,1.0,2.0,0.333
1621,217.0,100.0,0.684,21.0,12.0,0.636
1622,18.0,33.0,0.353,0.0,0.0,0.0
1623,75.0,85.0,0.469,2.0,3.0,0.4
1624,11.0,21.0,0.344,0.0,0.0,0.0
1625,,,,,,
1626,119.0,124.0,0.49,5.0,7.0,0.417
1627,79.0,67.0,0.541,2.0,4.0,0.333
1628,22.0,58.0,0.275,1.0,1.0,0.5
1629,121.0,122.0,0.498,4.0,7.0,0.364
1630,108.0,167.0,0.393,3.0,3.0,0.5
1631,47.0,65.0,0.42,1.0,2.0,0.333
1632,23.0,27.0,0.46,1.0,2.0,0.333
1633,81.0,82.0,0.497,1.0,4.0,0.2
1634,119.0,124.0,0.49,2.0,4.0,0.333
1635,127.0,177.0,0.418,4.0,5.0,0.444
1636,,,,,,
1637,46.0,82.0,0.359,0.0,1.0,0.0
1638,25.0,26.0,0.49,4.0,0.0,1.0
1639,113.0,111.0,0.505,8.0,6.0,0.571
1640,310.0,187.0,0.624,31.0,13.0,0.705
1641,96.0,121.0,0.442,3.0,4.0,0.429
1642,4.0,12.0,0.25,0.0,0.0,0.0
1643,206.0,186.0,0.525,8.0,8.0,0.5
1644,64.0,67.0,0.488,2.0,3.0,0.4
1645,81.0,94.0,0.463,0.0,4.0,0.0
1646,196.0,190.0,0.508,6.0,9.0,0.4
1647,23.0,25.0,0.479,0.0,1.0,0.0
1648,246.0,242.0,0.504,14.0,13.0,0.518
1649,40.0,56.0,0.417,0.0,0.0,0.0
1650,19.0,15.0,0.559,0.0,1.0,0.0
1651,,,,,,
1652,38.0,74.0,0.339,0.0,0.0,0.0
1653,208.0,227.0,0.478,6.0,7.0,0.461
1654,137.0,89.0,0.606,10.0,9.0,0.526
1655,25.0,23.0,0.521,0.0,2.0,0.0
1656,103.0,185.0,0.358,4.0,4.0,0.5
1657,155.0,200.0,0.437,6.0,4.0,0.6
1658,50.0,33.0,0.602,1.0,3.0,0.25
1659,178.0,198.0,0.474,4.0,6.0,0.4
1660,46.0,50.0,0.479,6.0,2.0,0.75
1661,8.0,8.0,0.5,0.0,0.0,0.0
1662,29.0,18.0,0.615,2.0,2.0,0.5
1663,332.0,181.0,0.647,34.0,21.0,0.618
1664,91.0,133.0,0.406,2.0,2.0,0.5
1665,112.0,131.0,0.461,3.0,4.0,0.429
1666,143.0,226.0,0.388,3.0,5.0,0.375
1667,4.0,12.0,0.25,0.0,0.0,0.0
1668,35.0,61.0,0.365,0.0,1.0,0.0
1669,257.0,144.0,0.64,26.0,16.0,0.619
