Name,Games Played,Mins,RPM
"Marc Gasol, C",73,33,-1.21
"Enes Freedom, C",71,25.8,-1.21
"Patty Mills, PG",82,25.7,-1.21
"Mario Chalmers, G",66,21.5,-1.21
"Davon Reed, SG",21,11.5,-1.23
"Josh Huestis, F",69,14.2,-1.24
"Meyers Leonard, C",33,7.7,-1.24
"Jae Crowder, PF",80,26.1,-1.27
"Jake Layman, F",35,4.6,-1.29
"Austin Rivers, SG",61,33.7,-1.31
"Devin Robinson, F",1,13,-1.32
"Vince Carter, G",58,17.7,-1.33
"Solomon Hill, SF",12,15.6,-1.33
"Frank Mason III, G",52,18.9,-1.35
"Wayne Selden, G",35,19.7,-1.36
"Marcin Gortat, C",82,25.3,-1.39
"Justin Jackson, SF",68,22.1,-1.39
"Alex Len, C",69,20.2,-1.4
"Tony Snell, SF",75,27.4,-1.4
"Eric Moreland, C",67,12,-1.41
"Alfonzo McKinnie, F",14,3.8,-1.41
"Joakim Noah, C",7,5.7,-1.42
"Markieff Morris, PF",73,27,-1.42
"Lauri Markkanen, PF",68,29.7,-1.43
"Malcolm Miller, F",15,8.4,-1.44
"Derrick Walton Jr., G",16,9.2,-1.46
"Jawun Evans, G",48,16.2,-1.46
"Tyler Dorsey, G",56,17.4,-1.47
"Zach LaVine, SG",24,27.3,-1.49
"Tyler Ennis, G",54,12.6,-1.49
"Domantas Sabonis, PF",74,24.5,-1.49
"Jabari Bird, G",13,8.8,-1.49
"Frank Ntilikina, PG",78,21.9,-1.5
"Pau Gasol, PF",77,23.5,-1.51
"Ron Baker, G",29,13.3,-1.51
"Terrance Ferguson, SF",61,12.5,-1.52
"Derrick White, PG",17,8.2,-1.52
"Harrison Barnes, SF",77,34.2,-1.54
"James Michael McAdoo, SF",3,6,-1.55
"Jamal Murray, PG",81,31.7,-1.56
"Deyonta Davis, F",62,15.2,-1.57
"Jameel Warney, PF",3,9,-1.57
"Matthew Dellavedova, PG",38,18.7,-1.57
"Lorenzo Brown, G",14,9.9,-1.58
"Andrew Harrison, G",56,23.7,-1.6
"James Webb III, F",10,12,-1.6
"Jacob Wiley, F",5,6.6,-1.61
"Furkan Korkmaz, SG",14,5.7,-1.62
"D'Angelo Russell, PG",48,25.7,-1.62
"Lance Stephenson, G",82,22.6,-1.64
"Derrick Rose, PG",25,16.8,-1.64
"Wilson Chandler, F",74,31.6,-1.68
"Damien Wilkins, SG",19,8,-1.69
"Kosta Koufos, C",71,19.6,-1.7
"DeAndre Jordan, C",77,31.5,-1.7
"Bogdan Bogdanovic, SG",78,27.9,-1.74
"Kevon Looney, F",66,13.8,-1.78
"Isaiah Whitehead, G",16,11.3,-1.8
"Caris LeVert, SG",71,26.3,-1.81
"Ben McLemore, SG",56,19.5,-1.82
"Tyler Zeller, C",66,16.8,-1.83
"Larry Drew II, G",10,7,-1.84
"JaMychal Green, F",55,28,-1.84
"Aaron Brooks, G",32,5.9,-1.86
"Tyson Chandler, C",46,25,-1.86
"Jon Leuer, F",8,17,-1.87
"Jameer Nelson, G",50,20.3,-1.88
"Matt Williams Jr., SG",3,3.7,-1.89
"Matt Costello, F",4,8,-1.91
"Wade Baldwin IV, G",7,11.4,-1.91
"Adreian Payne, PF",5,8.6,-1.91
"Tony Allen, SG",22,12.4,-1.92
"Ed Davis, C",78,18.9,-1.94
"Ryan Arcidiacono, G",24,12.7,-1.94
"James Young, G",6,10.2,-1.95
"Malachi Richardson, G",26,12.5,-1.97
"Brandon Ingram, SF",59,33.5,-1.98
"Julyan Stone, G",23,7.6,-2.01
"Joffrey Lauvergne, F",55,9.7,-2.01
"Dion Waiters, G",30,30.6,-2.02
"Richard Jefferson, F",20,8.2,-2.02
"Cole Aldrich, C",21,2.3,-2.03
"Marcus Paige, G",5,5.6,-2.04
"Quincy Pondexter, F",23,8.5,-2.04
"Jaylen Morris, F",6,16.3,-2.06
"George Hill, PG",67,27,-2.06
"Mike Scott, PF",76,18.5,-2.07
"Joe Young, G",53,10.5,-2.08
"Jonas Valanciunas, C",77,22.4,-2.09
"Wesley Johnson, F",74,20.1,-2.09
"Wes Iwundu, F",62,16.5,-2.09
"Torrey Craig, SF",39,16.1,-2.11
"Georges Niang, SF",9,3.6,-2.11
"Daniel Hamilton, F",6,4.7,-2.11
"Malik Monk, SG",63,13.5,-2.11
"Robin Lopez, C",64,26.4,-2.12
"Dwayne Bacon, G",53,13.5,-2.12
"Nigel Hayes, F",9,13.6,-2.13
"Damian Jones, C",15,5.9,-2.14
"Michael Beasley, F",74,22.3,-2.14
"John Henson, F",76,25.9,-2.18
"Jordan Mickey, F",23,12.3,-2.18
"Dennis Schroder, PG",67,31,-2.19
"Alex Caruso, SG",37,15.2,-2.21
"Marquis Teague, G",3,24.7,-2.23
"Alec Burks, SG",64,16.5,-2.24
"Josh Jackson, SG",77,25.4,-2.25
"Charles Cooke, G",13,2.9,-2.26
"Tony Bradley, C",9,3.2,-2.28
"T.J. McConnell, PG",76,22.4,-2.32
"Nerlens Noel, C",30,15.7,-2.33
"Al Jefferson, C",36,13.4,-2.33
"Alan Williams, C",5,14,-2.37
"Kay Felder, G",16,8.8,-2.41
"T.J. Warren, SF",65,33,-2.42
"Derrick Jones Jr., SF",20,12.3,-2.42
"Jonathon Simmons, G",69,29.4,-2.43
"Monte Morris, PG",3,8.3,-2.44
"Ramon Sessions, G",28,14,-2.49
"Michael Carter-Williams, G",52,16.1,-2.54
"Greg Monroe, C",51,20.4,-2.54
"Taurean Prince, PF",82,30,-2.55
"Jonathan Isaac, PF",27,19.8,-2.56
"Noah Vonleh, PF",54,16.2,-2.58
"Vander Blue, SG",5,9,-2.58
"Marcus Morris Sr., SF",54,26.7,-2.58
"Alex Poythress, F",25,4.2,-2.6
"Nick Collison, F",15,5,-2.6
"De'Aaron Fox, PG",73,27.8,-2.62
"Kyle Singler, F",12,4.9,-2.62
"Jarell Martin, F",73,22.8,-2.63
"Ian Mahinmi, C",77,14.9,-2.63
"C.J. Williams, G",38,18.6,-2.69
"David Nwaba, SF",70,23.5,-2.69
"Cheick Diallo, F",52,11.2,-2.7
"Rondae Hollis Jefferson, SF",68,28.3,-2.71
"Kyle Collinsworth, G",32,15,-2.72
"Jamal Crawford, G",80,20.7,-2.74
"Markel Brown, G",4,7.8,-2.74
"Tim Quarterman, G",3,4.3,-2.76
"Dragan Bender, F",82,25.2,-2.82
"Josh Gray, G",5,17.2,-2.83
"Dwight Buycks, G",29,14.7,-2.85
"Dante Cunningham, F",73,21.4,-2.89
"Jason Smith, F",33,8.6,-2.91
"Ike Anigbogu, C",11,2.7,-2.95
"Joe Johnson, G",55,21.9,-2.96
"Marquese Chriss, SF",72,21.2,-2.96
"JR Smith, G",80,28.1,-2.97
"Tony Parker, G",55,19.5,-3.02
"Tyler Ulis, G",71,23.4,-3.02
"Caleb Swanigan, F",27,7,-3.04
"Zach Collins, PF",66,15.8,-3.11
"Arron Afflalo, G",53,12.9,-3.16
"Zhou Qi, C",18,6.9,-3.18
"Lance Thomas, F",73,18.5,-3.22
"Darrell Arthur, F",19,7.4,-3.25
"DeAndre Liggins, G",58,12.5,-3.27
"Elfrid Payton, G",63,28.7,-3.28
"Jarrett Allen, C",72,20,-3.32
"Zach Randolph, F",59,25.6,-3.34
"Marshall Plumlee, C",8,6.5,-3.38
"Andrew Bogut, C",24,9,-3.4
"T.J. Leaf, PF",53,8.6,-3.46
"Iman Shumpert, G",14,19.7,-3.47
"Udonis Haslem, PF",14,5.1,-3.54
"Isaiah Hicks, F",18,13.3,-3.56
"Timofey Mozgov, C",31,11.6,-3.57
"Giorgios Papagiannis, C",17,7.2,-3.59
"Tarik Black, F",51,10.5,-3.62
"P.J. Tucker, PF",82,27.8,-3.66
"Emmanuel Mudiay, G",64,19.4,-3.73
"Jarrett Jack, G",62,25,-3.74
"Dennis Smith Jr., PG",69,29.7,-3.75
"Walt Lemon Jr., G",5,7,-3.77
"Tristan Thompson, C",53,20.2,-3.8
"Nate Wolters, PG",5,3.8,-3.8
"Semi Ojeleye, PF",73,15.8,-3.83
"DeAndre' Bembry, SG",26,17.5,-3.9
"D.J. Wilson, F",22,3.2,-3.9
"Jahlil Okafor, C",28,12.6,-3.9
"Ivan Rabb, PF",36,14.3,-3.92
"Gorgui Dieng, C",79,16.9,-3.94
"Xavier Munford, G",6,3.5,-3.97
"Skal Labissiere, F",60,20.7,-3.98
"Joel Bolomboy, PF",6,6.3,-3.99
"Cristiano Felicio, PF",55,17.8,-4.03
"Darrun Hilliard, G",14,6.8,-4.04
"Thon Maker, F",74,16.7,-4.14
"Evan Turner, G",79,25.7,-4.14
"Antonius Cleveland, G",17,7.2,-4.19
"Patrick McCaw, SF",57,16.9,-4.23
"Miles Plumlee, C",55,16.7,-4.28
"Kelly Oubre Jr., SG",81,27.5,-4.28
"Kadeem Allen, G",18,5.9,-4.49
"Kobi Simmons, G",32,20.1,-4.56
"Demetrius Jackson, G",15,5.3,-4.6
"Abdel Nader, SF",48,10.9,-4.61
"Xavier Rathan-Mayes, SG",5,23.6,-4.68
"Paul Zipser, F",54,15.2,-4.79
"Omer Asik, C",18,10.1,-4.85
"Danuel House Jr., SF",23,17.5,-5.38
"Juancho Hernangomez, PF",25,11.1,-5.38
"Briante Weber, PG",18,13.2,-5.54
"Bismack Biyombo, C",82,18.2,-5.83
"Mike James, PG",36,19.1,-6.05
"London Perrantes, G",14,4.7,-9.93
