Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
65,Christian Kirk,JAX,27,WR,12,12,85,57,787,3,34,540,9.5,247,4.3,9.9,3,19.0,4,4.7,2,98.5,KirkCh01
66,Tony Pollard,DAL,26,RB,17,17,67,55,311,0,12,-10,-0.2,321,5.8,0.4,14,3.9,6,9.0,0,86.0,PollTo00
67,Logan Thomas,WAS,32,TE,16,15,78,55,496,4,21,267,4.9,229,4.2,6.1,1,55.0,2,2.6,2,93.7,ThomLo00
68,Brandin Cooks,DAL,30,WR,16,15,81,54,657,8,38,532,9.9,125,2.3,13.2,0,,3,3.7,4,103.8,CookBr00
69,Jerry Jeudy,DEN,24,WR,16,11,87,54,758,2,28,435,8.1,323,6.0,12.7,4,13.5,2,2.3,3,83.4,JeudJe00
70,Chigoziem Okonkwo,TEN,24,TE,17,11,77,54,528,1,25,268,5.0,260,4.8,6.8,5,10.8,6,7.8,1,88.0,OkonCh00
71,Kyle Pitts,ATL,23,TE,17,15,90,53,667,3,35,533,10.1,134,2.5,11.4,0,,4,4.4,2,83.9,PittKy00
72,Jahmyr Gibbs,DET,21,RB,15,3,71,52,316,1,20,2,0.0,314,6.0,0.1,7,7.4,8,11.3,1,80.5,GibbJa01
73,Joe Mixon,CIN,27,RB,17,17,64,52,376,3,14,-87,-1.7,463,8.9,-1.8,7,7.4,4,6.3,1,100.3,MixoJo00
74,Tyjae Spears,TEN,22,RB,17,1,70,52,385,1,17,-75,-1.4,460,8.8,-0.2,8,6.5,1,1.4,1,85.7,SpeaTy00
75,Darren Waller,NYG,31,TE,12,11,74,52,552,1,25,341,6.6,211,4.1,8.0,0,,3,4.1,2,85.0,WallDa01
76,Marquise Brown,ARI,26,WR,14,14,101,51,574,4,32,410,8.0,164,3.2,11.9,2,25.5,4,4.0,2,72.8,BrowMa04
77,Austin Ekeler,LAC,28,RB,14,14,74,51,436,1,20,-77,-1.5,513,10.1,-1.0,7,7.3,6,8.1,1,82.9,EkelAu00
78,Ezekiel Elliott,NWE,28,RB,17,5,65,51,313,2,12,-61,-1.2,374,7.3,-0.6,7,7.3,2,3.1,0,97.0,ElliEz00
79,Gerald Everett,LAC,29,TE,15,12,70,51,411,3,25,136,2.7,275,5.4,4.0,9,5.7,2,2.9,1,95.6,EverGe00
80,Diontae Johnson,PIT,27,WR,13,11,87,51,717,5,37,456,8.9,261,5.1,12.7,4,12.8,2,2.3,1,99.6,JohnDi01
81,Samaje Perine,DEN,28,RB,17,1,56,50,455,0,23,-7,-0.1,462,9.2,-0.1,6,8.3,1,1.8,0,100.5,PeriSa00
82,Darius Slayton,NYG,26,WR,17,13,79,50,770,4,29,472,9.4,298,6.0,12.2,5,10.0,3,3.8,2,101.8,SlayDa01
83,Jonnu Smith,ATL,28,TE,17,6,70,50,582,3,26,225,4.5,357,7.1,6.5,6,8.3,4,5.7,2,98.6,SmitJo01
84,Jahan Dotson,WAS,23,WR,17,16,83,49,518,4,27,403,8.2,115,2.3,9.3,0,,5,6.0,7,58.2,DotsJa00
85,Demario Douglas,NWE,23,WR,14,7,79,49,561,0,26,225,4.6,336,6.9,8.2,1,49.0,1,1.3,4,62.3,DougDe00
86,Antonio Gibson,WAS,25,RB,16,2,59,48,389,2,19,12,0.3,377,7.9,0.0,6,8.0,2,3.4,1,98.4,GibsAn00
87,K.J. Osborn,MIN,26,WR,16,12,75,48,540,3,28,355,7.4,185,3.9,8.8,1,48.0,5,6.7,3,82.1,OsboKJ00
88,Tank Dell,HOU,24,WR,11,8,75,47,709,7,34,557,11.9,152,3.2,14.3,0,,4,5.3,2,113.7,DellNa00
89,Tyler Higbee,LAR,30,TE,15,15,70,47,495,2,26,249,5.3,246,5.2,5.8,2,23.5,7,10.0,0,97.0,HigbTy00
90,Cade Otton,TAM,24,TE,17,17,67,47,455,4,22,235,5.0,220,4.7,6.7,4,11.8,3,4.5,1,102.5,OttoCa00
91,Javonte Williams,DEN,23,RB,16,13,58,47,228,2,10,-75,-1.6,303,6.4,-1.7,6,7.8,4,6.9,0,94.5,WillJa10
92,Rashid Shaheed*+,NOR,25,WR,15,8,75,46,719,5,27,568,12.3,151,3.3,14.6,3,15.3,2,2.7,3,98.7,ShahRa00
93,Mark Andrews,BAL,28,TE,10,9,61,45,544,6,27,328,7.3,216,4.8,7.3,4,11.3,3,4.9,0,133.5,AndrMa00
